customer_id,customer_name,age,gender,region,employment_status,annual_income,credit_score,debt_to_income_ratio,account_open_date
CUST-00001,Customer_1,47,M,North,Self-Employed,55489.81,743,0.499,2021-07-19
CUST-00002,Customer_2,54,M,South,Self-Employed,46248.72,733,0.294,2019-02-16
CUST-00003,Customer_3,21,M,Central,Employed,43947.1,593,0.446,2022-10-02
CUST-00004,Customer_4,18,M,South,Employed,62139.71,556,0.229,2019-07-19
CUST-00005,Customer_5,34,M,Central,Employed,50999.36,630,0.632,2019-04-12
CUST-00006,Customer_6,41,F,South,Employed,94126.95,575,0.611,2021-05-12
CUST-00007,Customer_7,50,M,South,Self-Employed,65791.94,674,0.211,2021-01-05
CUST-00008,Customer_8,35,F,South,Employed,72329.7,526,0.408,2018-08-22
CUST-00009,Customer_9,33,F,North,Employed,83819.58,777,0.476,2022-05-18
CUST-00010,Customer_10,34,F,East,Self-Employed,71839.87,772,0.264,2018-05-25
CUST-00011,Customer_11,51,M,West,Employed,126238.97,678,0.361,2017-10-01
CUST-00012,Customer_12,51,F,North,Self-Employed,58705.91,825,0.021,2018-04-09
CUST-00013,Customer_13,43,F,Central,Employed,50794.63,693,0.409,2022-07-13
CUST-00014,Customer_14,39,M,South,Unemployed,47345.27,730,0.547,2022-06-22
CUST-00015,Customer_15,48,M,North,Employed,127328.31,700,0.217,2020-05-18
CUST-00016,Customer_16,57,F,South,Employed,50992.1,446,0.407,2021-09-29
CUST-00017,Customer_17,32,F,North,Self-Employed,67387.6,502,0.111,2021-12-17
CUST-00018,Customer_18,41,M,South,Employed,23850.79,588,0.174,2021-05-29
CUST-00019,Customer_19,71,M,East,Unemployed,77867.56,661,0.272,2018-07-27
CUST-00020,Customer_20,51,M,South,Unemployed,31812.48,615,0.295,2018-05-29
CUST-00021,Customer_21,25,F,West,Employed,36888.22,691,0.179,2021-09-26
CUST-00022,Customer_22,62,F,South,Self-Employed,96806.96,685,0.38,2020-09-13
CUST-00023,Customer_23,47,F,South,Employed,84229.59,670,0.354,2021-07-15
CUST-00024,Customer_24,37,F,Central,Employed,81297.21,778,0.605,2019-08-25
CUST-00025,Customer_25,44,F,East,Employed,27118.66,792,0.608,2022-02-22
CUST-00026,Customer_26,49,F,North,Unemployed,116936.8,705,0.408,2018-02-03
CUST-00027,Customer_27,33,M,South,Self-Employed,65917.43,575,0.335,2018-06-24
CUST-00028,Customer_28,32,F,Central,Employed,32153.11,754,0.409,2020-10-12
CUST-00029,Customer_29,64,F,Central,Employed,28185.72,615,0.473,2019-10-26
CUST-00030,Customer_30,74,M,North,Self-Employed,63042.92,558,0.438,2019-11-29
CUST-00031,Customer_31,47,F,East,Employed,55922.79,751,0.193,2020-06-25
CUST-00032,Customer_32,30,M,West,Employed,45155.58,748,0.434,2018-11-15
CUST-00033,Customer_33,43,F,Central,Unemployed,107106.93,689,0.336,2020-01-28
CUST-00034,Customer_34,52,M,East,Unemployed,42952.61,712,0.304,2020-01-28
CUST-00035,Customer_35,85,M,South,Employed,124490.51,773,0.333,2022-01-06
CUST-00036,Customer_36,43,M,Central,Employed,37393.01,681,0.189,2022-10-24
CUST-00037,Customer_37,22,M,East,Retired,36635.9,654,0.52,2018-04-04
CUST-00038,Customer_38,70,F,South,Employed,165029.18,807,0.705,2017-12-30
CUST-00039,Customer_39,44,M,North,Self-Employed,46888.4,534,0.116,2018-05-06
CUST-00040,Customer_40,45,M,Central,Unemployed,24668.32,770,0.297,2022-03-15
CUST-00041,Customer_41,54,F,Central,Employed,40058.34,569,0.155,2019-12-18
CUST-00042,Customer_42,26,F,South,Retired,56510.67,505,0.168,2018-09-08
CUST-00043,Customer_43,43,M,East,Employed,61832.22,850,0.289,2019-02-26
CUST-00044,Customer_44,39,F,West,Retired,61913.48,743,0.208,2020-05-22
CUST-00045,Customer_45,27,M,South,Employed,87357.72,691,0.394,2021-01-09
CUST-00046,Customer_46,36,M,Central,Self-Employed,67116.09,764,0.307,2019-08-15
CUST-00047,Customer_47,52,M,North,Employed,101073.79,815,0.312,2019-05-20
CUST-00048,Customer_48,48,M,South,Employed,40515.08,524,0.121,2022-09-29
CUST-00049,Customer_49,39,F,North,Employed,140656.06,645,0.236,2021-05-11
CUST-00050,Customer_50,35,F,South,Employed,100914.47,663,0.405,2018-11-12
CUST-00051,Customer_51,40,F,South,Unemployed,171403.33,780,0.108,2018-05-24
CUST-00052,Customer_52,51,F,South,Employed,86411.92,622,0.233,2019-03-24
CUST-00053,Customer_53,40,F,East,Employed,83919.45,807,0.237,2020-04-20
CUST-00054,Customer_54,55,M,North,Employed,46048.02,625,0.474,2018-11-02
CUST-00055,Customer_55,59,F,North,Employed,50702.05,684,0.223,2021-11-08
CUST-00056,Customer_56,57,F,South,Employed,91489.06,729,0.267,2021-05-11
CUST-00057,Customer_57,37,F,South,Retired,62212.36,773,0.381,2022-07-01
CUST-00058,Customer_58,36,F,Central,Employed,166538.51,793,0.353,2019-04-07
CUST-00059,Customer_59,32,M,North,Retired,54899.08,563,0.713,2018-02-28
CUST-00060,Customer_60,46,M,South,Employed,36529.37,729,0.07,2020-03-22
CUST-00061,Customer_61,56,M,West,Retired,46256.32,530,0.478,2021-12-30
CUST-00062,Customer_62,45,F,North,Retired,24911.0,631,0.313,2021-06-07
CUST-00063,Customer_63,36,F,East,Employed,84336.28,588,0.462,2017-07-21
CUST-00064,Customer_64,48,F,South,Employed,25751.22,799,0.455,2021-09-13
CUST-00065,Customer_65,56,M,Central,Self-Employed,62139.38,850,0.679,2022-07-31
CUST-00066,Customer_66,38,F,North,Employed,85387.65,808,0.141,2020-03-31
CUST-00067,Customer_67,54,M,North,Retired,22758.48,578,0.643,2022-06-21
CUST-00068,Customer_68,53,M,North,Self-Employed,71817.63,683,0.391,2019-02-19
CUST-00069,Customer_69,41,M,West,Employed,111020.79,555,0.306,2017-12-05
CUST-00070,Customer_70,28,M,Central,Self-Employed,78293.53,752,0.383,2019-06-13
CUST-00071,Customer_71,48,M,West,Self-Employed,38233.81,634,0.135,2019-10-02
CUST-00072,Customer_72,40,F,East,Employed,61277.85,731,0.502,2018-11-27
CUST-00073,Customer_73,39,F,South,Employed,39933.6,737,0.37,2022-03-09
CUST-00074,Customer_74,34,F,West,Employed,20000.0,761,0.063,2018-09-15
CUST-00075,Customer_75,55,M,North,Employed,138424.88,463,0.284,2019-10-06
CUST-00076,Customer_76,29,M,North,Employed,41776.73,615,0.153,2020-01-31
CUST-00077,Customer_77,52,F,South,Retired,37023.73,684,0.522,2017-12-24
CUST-00078,Customer_78,37,M,South,Employed,41455.63,810,0.251,2022-01-13
CUST-00079,Customer_79,48,F,Central,Self-Employed,46538.7,628,0.301,2019-06-29
CUST-00080,Customer_80,18,M,Central,Employed,87251.78,720,0.367,2019-03-15
CUST-00081,Customer_81,51,M,South,Employed,80063.4,703,0.427,2017-12-06
CUST-00082,Customer_82,35,M,Central,Employed,34505.51,710,0.022,2021-05-04
CUST-00083,Customer_83,31,M,East,Employed,31999.39,709,0.826,2019-05-14
CUST-00084,Customer_84,34,F,Central,Employed,90956.63,784,0.761,2017-11-04
CUST-00085,Customer_85,32,M,North,Self-Employed,65732.65,693,0.248,2018-04-09
CUST-00086,Customer_86,34,F,North,Employed,82750.12,656,0.245,2018-08-06
CUST-00087,Customer_87,66,M,East,Employed,51605.74,770,0.184,2020-06-11
CUST-00088,Customer_88,54,F,Central,Employed,37648.57,542,0.246,2022-07-01
CUST-00089,Customer_89,18,M,Central,Employed,36803.61,710,0.287,2020-11-06
CUST-00090,Customer_90,48,M,West,Employed,118899.02,771,0.38,2021-03-11
CUST-00091,Customer_91,31,F,North,Retired,137361.89,721,0.202,2021-09-28
CUST-00092,Customer_92,57,M,North,Employed,46884.83,646,0.176,2019-10-13
CUST-00093,Customer_93,58,F,Central,Self-Employed,24398.58,710,0.207,2017-09-24
CUST-00094,Customer_94,31,M,South,Retired,20000.0,701,0.643,2018-05-17
CUST-00095,Customer_95,50,M,West,Employed,67458.88,724,0.495,2018-10-16
CUST-00096,Customer_96,44,F,West,Unemployed,63262.78,676,0.424,2018-01-28
