loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,monthly_payment,remaining_balance,open_date,status,credit_score,annual_income,debt_to_income_ratio
LOAN-0001,CUST-00810,Personal,87007.63,18.33,360,1334.73,76373.36,2021-04-09,Active,765,44499.13,0.154
LOAN-0002,CUST-00801,Student,57997.52,6.68,36,1782.32,11277.3,2022-07-01,Active,550,76970.57,0.093
LOAN-0003,CUST-00601,Personal,39402.08,8.36,120,485.58,27253.11,2021-11-30,Active,550,133507.63,0.316
LOAN-0004,CUST-00409,Business,36558.57,5.83,36,1109.37,0.0,2021-04-05,Closed,589,45335.21,0.525
LOAN-0005,CUST-00339,Mortgage,35570.12,12.02,36,1181.78,0.0,2021-03-30,Closed,667,28805.67,0.493
LOAN-0006,CUST-01349,Personal,22885.53,15.66,120,378.53,15066.31,2021-07-18,Active,748,70986.33,0.259
LOAN-0007,CUST-00273,Student,22511.7,18.42,48,666.23,2344.97,2021-05-07,Active,621,57909.49,0.084
LOAN-0008,CUST-00715,Personal,82071.88,11.44,360,809.0,72724.8,2021-07-07,Active,684,38776.27,0.175
LOAN-0009,CUST-01427,Mortgage,47497.95,13.46,48,1285.12,4947.7,2021-05-17,Active,669,37624.23,0.193
LOAN-0010,CUST-01065,Student,24998.67,4.38,360,124.89,22498.8,2021-12-08,Active,850,96639.91,0.347
LOAN-0011,CUST-00365,Personal,23722.05,6.62,60,465.48,5930.51,2021-03-19,Active,664,113922.59,0.345
LOAN-0012,CUST-00031,Personal,91126.1,4.23,360,447.22,79735.34,2021-03-12,Active,751,55922.79,0.193
LOAN-0013,CUST-00646,Student,54261.48,16.5,360,751.6,49438.24,2022-04-03,Active,711,20000.0,0.226
LOAN-0014,CUST-00946,Business,24175.85,16.48,360,334.48,21623.95,2021-10-18,Active,712,255463.54,0.551
LOAN-0015,CUST-01105,Personal,25534.63,4.34,360,126.96,16597.51,2021-02-14,Defaulted,615,91444.07,0.512
LOAN-0016,CUST-00163,Business,54872.89,15.83,120,913.39,35667.38,2021-06-07,Active,731,37755.52,0.319
LOAN-0017,CUST-01411,Mortgage,25041.26,4.97,48,576.34,9912.17,2022-07-26,Active,794,97754.02,0.05
LOAN-0018,CUST-01120,Business,110253.23,9.17,60,2297.78,29400.86,2021-04-03,Active,739,77291.42,0.359
LOAN-0019,CUST-00918,Student,15842.77,10.99,60,344.38,5809.02,2021-10-23,Active,640,96466.69,0.598
LOAN-0020,CUST-00325,Business,121840.46,9.98,48,3089.02,25383.43,2021-10-30,Active,812,74332.09,0.407
