month,month_start,revenue,operating_expenses,profit,interest_income,fee_income,loan_loss_provision
2023-01,2023-01-01,443507.31,334019.35,109487.96,202399.49,80386.67,19052.16
2023-02,2023-02-01,452394.35,327143.34,125251.0,195385.72,101768.31,27933.43
2023-03,2023-03-01,543696.13,386610.42,157085.71,216560.31,82195.11,28694.89
2023-04,2023-04-01,515168.72,361764.17,153404.54,244318.58,83613.72,18539.94
2023-05,2023-05-01,542618.83,403705.49,138913.35,193487.55,124853.66,35659.63
2023-06,2023-06-01,473938.96,360699.62,113239.34,172824.09,117406.79,22300.12
2023-07,2023-07-01,499845.58,343773.15,156072.43,221601.78,99789.57,34086.47
2023-08,2023-08-01,416248.69,297726.34,118522.36,197909.88,63697.79,16102.08
2023-09,2023-09-01,397547.54,281689.34,115858.2,155342.95,77898.15,22799.0
2023-10,2023-10-01,404069.55,296116.55,107953.0,180216.87,79690.05,15822.56
2023-11,2023-11-01,426488.73,309754.58,116734.14,167853.31,72416.63,18491.75
2023-12,2023-12-01,444882.27,319556.0,125326.27,186413.58,102940.28,13833.73
2024-01,2024-01-01,535405.5,380131.99,155273.51,245152.78,96446.88,18097.65
2024-02,2024-02-01,516992.06,368439.2,148552.86,208280.36,82977.07,25131.31
2024-03,2024-03-01,632135.78,427960.83,204174.96,289912.59,131382.38,43326.35
2024-04,2024-04-01,643498.26,450103.96,193394.3,283466.19,159693.32,35879.0
2024-05,2024-05-01,669379.79,484332.73,185047.06,297061.34,165484.34,41960.03
2024-06,2024-06-01,636460.4,440767.9,195692.5,271532.66,151103.76,29386.42
2024-07,2024-07-01,680326.52,479872.83,200453.69,321605.28,158671.53,26767.97
2024-08,2024-08-01,495751.67,343346.53,152405.14,200960.19,123900.81,15640.68
2024-09,2024-09-01,508149.46,351845.7,156303.77,201685.24,116103.23,16292.95
2024-10,2024-10-01,454518.03,308657.3,145860.73,177068.47,85450.04,14419.48
2024-11,2024-11-01,490875.57,334262.32,156613.26,201683.24,92883.88,32453.45
2024-12,2024-12-01,568854.93,390024.41,178830.52,201749.56,86509.1,38193.1
