transaction_id,customer_id,transaction_date,transaction_type,amount,product_category,region
TXN-038902,CUST-01121,2023-01-01,Fee,10.85,Business Loan,North
TXN-015846,CUST-00458,2023-01-01,Payment,284.19,Business Loan,South
TXN-029326,CUST-00843,2023-01-01,Deposit,4.61,Auto Loan,East
TXN-002438,CUST-00076,2023-01-01,Transfer,11.79,Business Loan,North
TXN-037414,CUST-01076,2023-01-01,Payment,25.53,Auto Loan,West
TXN-019947,CUST-00570,2023-01-01,Deposit,154.02,Credit Card,East
TXN-041739,CUST-01203,2023-01-01,Withdrawal,8.21,Auto Loan,North
TXN-011496,CUST-00340,2023-01-01,Deposit,12.05,Business Loan,East
TXN-046360,CUST-01334,2023-01-01,Withdrawal,14.36,Business Loan,East
TXN-015778,CUST-00457,2023-01-01,Fee,2.38,Mortgage,Central
TXN-017082,CUST-00491,2023-01-01,Fee,4.0,Credit Card,South
TXN-026983,CUST-00775,2023-01-01,Payment,21.08,Business Loan,North
TXN-023761,CUST-00684,2023-01-01,Payment,22.72,Credit Card,West
TXN-002396,CUST-00074,2023-01-01,Payment,10.86,Credit Card,West
TXN-023303,CUST-00670,2023-01-01,Fee,110.93,Personal Loan,West
TXN-016119,CUST-00464,2023-01-01,Withdrawal,23.52,Business Loan,North
TXN-002809,CUST-00087,2023-01-01,Payment,257.79,Investment Fund,East
TXN-040657,CUST-01172,2023-01-01,Payment,172.26,Business Loan,West
TXN-010953,CUST-00323,2023-01-01,Payment,23.81,Personal Loan,North
TXN-024572,CUST-00706,2023-01-01,Withdrawal,60.28,Business Loan,East
TXN-001765,CUST-00053,2023-01-01,Deposit,32.17,Mortgage,East
TXN-050174,CUST-01445,2023-01-01,Transfer,76.92,Personal Loan,North
TXN-003960,CUST-00122,2023-01-01,Deposit,14.44,Mortgage,East
TXN-021677,CUST-00623,2023-01-01,Payment,24.01,Auto Loan,East
TXN-003007,CUST-00093,2023-01-01,Deposit,8.04,Insurance,Central
TXN-033335,CUST-00962,2023-01-01,Deposit,12.55,Auto Loan,East
TXN-031967,CUST-00920,2023-01-01,Payment,54.03,Mortgage,East
TXN-030960,CUST-00889,2023-01-01,Payment,3.58,Business Loan,West
TXN-000076,CUST-00003,2023-01-01,Payment,57.48,Investment Fund,Central
TXN-016134,CUST-00465,2023-01-01,Payment,9.26,Savings Account,East
TXN-011936,CUST-00351,2023-01-01,Payment,112.71,Business Loan,West
TXN-022094,CUST-00635,2023-01-01,Payment,495.29,Business Loan,Central
TXN-030090,CUST-00865,2023-01-01,Fee,4.25,Auto Loan,West
TXN-044927,CUST-01295,2023-01-01,Withdrawal,23.57,Investment Fund,East
TXN-016507,CUST-00476,2023-01-01,Transfer,78.6,Investment Fund,South
TXN-047829,CUST-01377,2023-01-01,Payment,3.61,Savings Account,East
TXN-008187,CUST-00246,2023-01-01,Deposit,49.61,Mortgage,North
TXN-021245,CUST-00612,2023-01-01,Payment,14.17,Auto Loan,West
TXN-032773,CUST-00944,2023-01-01,Deposit,26.16,Mortgage,Central
TXN-032239,CUST-00929,2023-01-01,Deposit,16.9,Personal Loan,North
TXN-045737,CUST-01318,2023-01-01,Payment,14.46,Mortgage,South
TXN-002046,CUST-00063,2023-01-01,Withdrawal,197.84,Savings Account,East
TXN-032070,CUST-00924,2023-01-01,Payment,22.02,Insurance,Central
TXN-006417,CUST-00195,2023-01-01,Withdrawal,177.38,Personal Loan,North
TXN-015648,CUST-00454,2023-01-01,Deposit,26.03,Credit Card,East
TXN-011596,CUST-00343,2023-01-01,Payment,82.22,Auto Loan,West
TXN-041054,CUST-01182,2023-01-01,Transfer,316.88,Insurance,Central
TXN-004671,CUST-00145,2023-01-01,Fee,91.18,Savings Account,South
TXN-048984,CUST-01409,2023-01-01,Withdrawal,4.95,Investment Fund,North
TXN-027149,CUST-00780,2023-01-01,Withdrawal,31.38,Mortgage,South
TXN-030813,CUST-00885,2023-01-01,Deposit,57.08,Business Loan,North
TXN-038232,CUST-01102,2023-01-01,Withdrawal,121.57,Business Loan,South
TXN-044913,CUST-01295,2023-01-01,Withdrawal,9.05,Personal Loan,East
TXN-046509,CUST-01339,2023-01-01,Transfer,2.43,Savings Account,East
TXN-009377,CUST-00278,2023-01-01,Deposit,4.22,Savings Account,North
TXN-004000,CUST-00123,2023-01-01,Fee,70.26,Auto Loan,North
TXN-029096,CUST-00836,2023-01-01,Transfer,16.85,Investment Fund,Central
TXN-021978,CUST-00631,2023-01-01,Transfer,77.91,Savings Account,East
TXN-046543,CUST-01340,2023-01-01,Withdrawal,3.68,Personal Loan,West
TXN-027344,CUST-00786,2023-01-01,Withdrawal,16.36,Credit Card,East
TXN-032246,CUST-00929,2023-01-01,Fee,108.93,Credit Card,North
TXN-005722,CUST-00174,2023-01-01,Interest,8.8,Personal Loan,North
TXN-005857,CUST-00178,2023-01-01,Withdrawal,192.15,Insurance,North
TXN-049762,CUST-01434,2023-01-01,Deposit,19.0,Auto Loan,South
TXN-039345,CUST-01135,2023-01-01,Payment,123.63,Insurance,Central
TXN-018581,CUST-00535,2023-01-01,Withdrawal,9.81,Business Loan,East
TXN-031252,CUST-00897,2023-01-01,Transfer,14.27,Investment Fund,North
TXN-030821,CUST-00885,2023-01-01,Transfer,20.23,Business Loan,North
TXN-009193,CUST-00273,2023-01-01,Deposit,45.76,Savings Account,North
TXN-048430,CUST-01395,2023-01-02,Deposit,13.12,Credit Card,North
TXN-021656,CUST-00622,2023-01-02,Deposit,41.21,Credit Card,East
TXN-034307,CUST-00987,2023-01-02,Deposit,36.82,Investment Fund,East
TXN-031878,CUST-00918,2023-01-02,Payment,695.79,Personal Loan,East
TXN-002981,CUST-00092,2023-01-02,Payment,23.77,Insurance,North
TXN-010067,CUST-00297,2023-01-02,Payment,9.48,Business Loan,Central
TXN-005880,CUST-00179,2023-01-02,Payment,31.25,Investment Fund,Central
TXN-003612,CUST-00110,2023-01-02,Deposit,19.93,Auto Loan,East
TXN-031015,CUST-00891,2023-01-02,Interest,28.03,Savings Account,West
TXN-029873,CUST-00858,2023-01-02,Payment,48.94,Savings Account,South
TXN-028382,CUST-00814,2023-01-02,Payment,62.85,Auto Loan,Central
TXN-016545,CUST-00478,2023-01-02,Payment,1.99,Savings Account,South
TXN-012653,CUST-00371,2023-01-02,Fee,50.37,Business Loan,Central
TXN-041150,CUST-01184,2023-01-02,Deposit,52.65,Insurance,South
TXN-040041,CUST-01155,2023-01-02,Transfer,63.69,Investment Fund,Central
TXN-046375,CUST-01335,2023-01-02,Payment,19.4,Auto Loan,North
TXN-041326,CUST-01189,2023-01-02,Payment,35.21,Mortgage,North
TXN-024417,CUST-00703,2023-01-02,Transfer,52.62,Business Loan,East
TXN-020826,CUST-00597,2023-01-02,Withdrawal,40.35,Investment Fund,Central
TXN-039695,CUST-01146,2023-01-02,Transfer,58.45,Investment Fund,South
TXN-043478,CUST-01255,2023-01-02,Transfer,32.48,Business Loan,Central
TXN-036765,CUST-01058,2023-01-02,Payment,10.26,Credit Card,West
TXN-003717,CUST-00114,2023-01-02,Withdrawal,93.11,Business Loan,South
TXN-043411,CUST-01252,2023-01-02,Withdrawal,31.57,Personal Loan,East
TXN-005255,CUST-00162,2023-01-02,Deposit,72.75,Savings Account,Central
TXN-020775,CUST-00596,2023-01-02,Payment,26.97,Auto Loan,North
TXN-010243,CUST-00303,2023-01-02,Payment,681.47,Business Loan,West
TXN-008769,CUST-00261,2023-01-02,Fee,15.31,Credit Card,East
