transaction_id,customer_id,transaction_date,transaction_type,amount,product_category,region,is_outlier,year_month
TXN-038902,CUST-01121,2023-01-01,Fee,10.85,Business Loan,North,False,2023-01
TXN-015846,CUST-00458,2023-01-01,Payment,284.19,Business Loan,South,True,2023-01
TXN-029326,CUST-00843,2023-01-01,Deposit,4.61,Auto Loan,East,False,2023-01
TXN-002438,CUST-00076,2023-01-01,Transfer,11.79,Business Loan,North,False,2023-01
TXN-037414,CUST-01076,2023-01-01,Payment,25.53,Auto Loan,West,False,2023-01
TXN-019947,CUST-00570,2023-01-01,Deposit,154.02,Credit Card,East,False,2023-01
TXN-041739,CUST-01203,2023-01-01,Withdrawal,8.21,Auto Loan,North,False,2023-01
TXN-011496,CUST-00340,2023-01-01,Deposit,12.05,Business Loan,East,False,2023-01
TXN-046360,CUST-01334,2023-01-01,Withdrawal,14.36,Business Loan,East,False,2023-01
TXN-015778,CUST-00457,2023-01-01,Fee,2.38,Mortgage,Central,False,2023-01
TXN-017082,CUST-00491,2023-01-01,Fee,4.0,Credit Card,South,False,2023-01
TXN-026983,CUST-00775,2023-01-01,Payment,21.08,Business Loan,North,False,2023-01
TXN-023761,CUST-00684,2023-01-01,Payment,22.72,Credit Card,West,False,2023-01
TXN-002396,CUST-00074,2023-01-01,Payment,10.86,Credit Card,West,False,2023-01
TXN-023303,CUST-00670,2023-01-01,Fee,110.93,Personal Loan,West,False,2023-01
TXN-016119,CUST-00464,2023-01-01,Withdrawal,23.52,Business Loan,North,False,2023-01
TXN-002809,CUST-00087,2023-01-01,Payment,257.79,Investment Fund,East,True,2023-01
TXN-040657,CUST-01172,2023-01-01,Payment,172.26,Business Loan,West,False,2023-01
TXN-010953,CUST-00323,2023-01-01,Payment,23.81,Personal Loan,North,False,2023-01
TXN-024572,CUST-00706,2023-01-01,Withdrawal,60.28,Business Loan,East,False,2023-01
TXN-001765,CUST-00053,2023-01-01,Deposit,32.17,Mortgage,East,False,2023-01
TXN-050174,CUST-01445,2023-01-01,Transfer,76.92,Personal Loan,North,False,2023-01
TXN-003960,CUST-00122,2023-01-01,Deposit,14.44,Mortgage,East,False,2023-01
TXN-021677,CUST-00623,2023-01-01,Payment,24.01,Auto Loan,East,False,2023-01
TXN-003007,CUST-00093,2023-01-01,Deposit,8.04,Insurance,Central,False,2023-01
TXN-033335,CUST-00962,2023-01-01,Deposit,12.55,Auto Loan,East,False,2023-01
TXN-031967,CUST-00920,2023-01-01,Payment,54.03,Mortgage,East,False,2023-01
TXN-030960,CUST-00889,2023-01-01,Payment,3.58,Business Loan,West,False,2023-01
TXN-000076,CUST-00003,2023-01-01,Payment,57.48,Investment Fund,Central,False,2023-01
TXN-016134,CUST-00465,2023-01-01,Payment,9.26,Savings Account,East,False,2023-01
TXN-011936,CUST-00351,2023-01-01,Payment,112.71,Business Loan,West,False,2023-01
TXN-022094,CUST-00635,2023-01-01,Payment,495.29,Business Loan,Central,True,2023-01
TXN-030090,CUST-00865,2023-01-01,Fee,4.25,Auto Loan,West,False,2023-01
TXN-044927,CUST-01295,2023-01-01,Withdrawal,23.57,Investment Fund,East,False,2023-01
TXN-016507,CUST-00476,2023-01-01,Transfer,78.6,Investment Fund,South,False,2023-01
TXN-047829,CUST-01377,2023-01-01,Payment,3.61,Savings Account,East,False,2023-01
TXN-008187,CUST-00246,2023-01-01,Deposit,49.61,Mortgage,North,False,2023-01
TXN-021245,CUST-00612,2023-01-01,Payment,14.17,Auto Loan,West,False,2023-01
TXN-032773,CUST-00944,2023-01-01,Deposit,26.16,Mortgage,Central,False,2023-01
TXN-032239,CUST-00929,2023-01-01,Deposit,16.9,Personal Loan,North,False,2023-01
TXN-045737,CUST-01318,2023-01-01,Payment,14.46,Mortgage,South,False,2023-01
TXN-002046,CUST-00063,2023-01-01,Withdrawal,197.84,Savings Account,East,True,2023-01
TXN-032070,CUST-00924,2023-01-01,Payment,22.02,Insurance,Central,False,2023-01
TXN-006417,CUST-00195,2023-01-01,Withdrawal,177.38,Personal Loan,North,True,2023-01
TXN-015648,CUST-00454,2023-01-01,Deposit,26.03,Credit Card,East,False,2023-01
TXN-011596,CUST-00343,2023-01-01,Payment,82.22,Auto Loan,West,False,2023-01
TXN-041054,CUST-01182,2023-01-01,Transfer,316.88,Insurance,Central,True,2023-01
TXN-004671,CUST-00145,2023-01-01,Fee,91.18,Savings Account,South,False,2023-01
TXN-048984,CUST-01409,2023-01-01,Withdrawal,4.95,Investment Fund,North,False,2023-01
TXN-027149,CUST-00780,2023-01-01,Withdrawal,31.38,Mortgage,South,False,2023-01
TXN-030813,CUST-00885,2023-01-01,Deposit,57.08,Business Loan,North,False,2023-01
TXN-038232,CUST-01102,2023-01-01,Withdrawal,121.57,Business Loan,South,False,2023-01
TXN-044913,CUST-01295,2023-01-01,Withdrawal,9.05,Personal Loan,East,False,2023-01
TXN-046509,CUST-01339,2023-01-01,Transfer,2.43,Savings Account,East,False,2023-01
TXN-009377,CUST-00278,2023-01-01,Deposit,4.22,Savings Account,North,False,2023-01
TXN-004000,CUST-00123,2023-01-01,Fee,70.26,Auto Loan,North,False,2023-01
TXN-029096,CUST-00836,2023-01-01,Transfer,16.85,Investment Fund,Central,False,2023-01
TXN-021978,CUST-00631,2023-01-01,Transfer,77.91,Savings Account,East,False,2023-01
TXN-046543,CUST-01340,2023-01-01,Withdrawal,3.68,Personal Loan,West,False,2023-01
TXN-027344,CUST-00786,2023-01-01,Withdrawal,16.36,Credit Card,East,False,2023-01
TXN-032246,CUST-00929,2023-01-01,Fee,108.93,Credit Card,North,False,2023-01
TXN-005722,CUST-00174,2023-01-01,Interest,8.8,Personal Loan,North,False,2023-01
TXN-005857,CUST-00178,2023-01-01,Withdrawal,192.15,Insurance,North,True,2023-01
TXN-049762,CUST-01434,2023-01-01,Deposit,19.0,Auto Loan,South,False,2023-01
TXN-039345,CUST-01135,2023-01-01,Payment,123.63,Insurance,Central,False,2023-01
TXN-018581,CUST-00535,2023-01-01,Withdrawal,9.81,Business Loan,East,False,2023-01
TXN-031252,CUST-00897,2023-01-01,Transfer,14.27,Investment Fund,North,False,2023-01
TXN-030821,CUST-00885,2023-01-01,Transfer,20.23,Business Loan,North,False,2023-01
TXN-009193,CUST-00273,2023-01-01,Deposit,45.76,Savings Account,North,False,2023-01
TXN-048430,CUST-01395,2023-01-02,Deposit,13.12,Credit Card,North,False,2023-01
TXN-021656,CUST-00622,2023-01-02,Deposit,41.21,Credit Card,East,False,2023-01
TXN-034307,CUST-00987,2023-01-02,Deposit,36.82,Investment Fund,East,False,2023-01
TXN-031878,CUST-00918,2023-01-02,Payment,695.79,Personal Loan,East,True,2023-01
TXN-002981,CUST-00092,2023-01-02,Payment,23.77,Insurance,North,False,2023-01
TXN-010067,CUST-00297,2023-01-02,Payment,9.48,Business Loan,Central,False,2023-01
TXN-005880,CUST-00179,2023-01-02,Payment,31.25,Investment Fund,Central,False,2023-01
TXN-003612,CUST-00110,2023-01-02,Deposit,19.93,Auto Loan,East,False,2023-01
TXN-031015,CUST-00891,2023-01-02,Interest,28.03,Savings Account,West,False,2023-01
TXN-029873,CUST-00858,2023-01-02,Payment,48.94,Savings Account,South,False,2023-01
TXN-028382,CUST-00814,2023-01-02,Payment,62.85,Auto Loan,Central,False,2023-01
TXN-016545,CUST-00478,2023-01-02,Payment,1.99,Savings Account,South,False,2023-01
TXN-012653,CUST-00371,2023-01-02,Fee,50.37,Business Loan,Central,False,2023-01
TXN-041150,CUST-01184,2023-01-02,Deposit,52.65,Insurance,South,False,2023-01
TXN-040041,CUST-01155,2023-01-02,Transfer,63.69,Investment Fund,Central,False,2023-01
TXN-046375,CUST-01335,2023-01-02,Payment,19.4,Auto Loan,North,False,2023-01
TXN-041326,CUST-01189,2023-01-02,Payment,35.21,Mortgage,North,False,2023-01
TXN-024417,CUST-00703,2023-01-02,Transfer,52.62,Business Loan,East,False,2023-01
TXN-020826,CUST-00597,2023-01-02,Withdrawal,40.35,Investment Fund,Central,False,2023-01
TXN-039695,CUST-01146,2023-01-02,Transfer,58.45,Investment Fund,South,False,2023-01
TXN-043478,CUST-01255,2023-01-02,Transfer,32.48,Business Loan,Central,False,2023-01
TXN-036765,CUST-01058,2023-01-02,Payment,10.26,Credit Card,West,False,2023-01
TXN-003717,CUST-00114,2023-01-02,Withdrawal,93.11,Business Loan,South,False,2023-01
TXN-043411,CUST-01252,2023-01-02,Withdrawal,31.57,Personal Loan,East,False,2023-01
TXN-005255,CUST-00162,2023-01-02,Deposit,72.75,Savings Account,Central,False,2023-01
TXN-020775,CUST-00596,2023-01-02,Payment,26.97,Auto Loan,North,False,2023-01
TXN-010243,CUST-00303,2023-01-02,Payment,681.47,Business Loan,West,True,2023-01
TXN-008769,CUST-00261,2023-01-02,Fee,15.31,Credit Card,East,False,2023-01
TXN-013019,CUST-00381,2023-01-02,Deposit,26.03,Business Loan,North,False,2023-01
TXN-042588,CUST-01230,2023-01-02,Deposit,42.78,Auto Loan,Central,False,2023-01
TXN-017567,CUST-00505,2023-01-02,Payment,3.39,Mortgage,West,False,2023-01
TXN-045155,CUST-01302,2023-01-02,Withdrawal,85.09,Personal Loan,Central,False,2023-01
TXN-049505,CUST-01426,2023-01-02,Payment,41.84,Mortgage,East,False,2023-01
TXN-003780,CUST-00116,2023-01-02,Withdrawal,12.75,Business Loan,Central,False,2023-01
TXN-006672,CUST-00204,2023-01-02,Withdrawal,11.99,Savings Account,South,False,2023-01
TXN-052014,CUST-01500,2023-01-02,Payment,889.57,Business Loan,Central,True,2023-01
TXN-031981,CUST-00921,2023-01-02,Withdrawal,3.5,Business Loan,South,False,2023-01
TXN-018516,CUST-00533,2023-01-02,Withdrawal,23.51,Insurance,East,False,2023-01
TXN-019207,CUST-00550,2023-01-02,Withdrawal,10.33,Business Loan,South,False,2023-01
TXN-026047,CUST-00750,2023-01-02,Deposit,73.13,Personal Loan,Central,False,2023-01
TXN-007740,CUST-00233,2023-01-02,Deposit,17.74,Personal Loan,North,False,2023-01
TXN-048222,CUST-01389,2023-01-02,Withdrawal,126.55,Insurance,Central,False,2023-01
TXN-041487,CUST-01195,2023-01-02,Withdrawal,4.96,Credit Card,South,False,2023-01
TXN-026973,CUST-00775,2023-01-02,Payment,18.34,Auto Loan,North,False,2023-01
TXN-012050,CUST-00355,2023-01-02,Fee,10.08,Investment Fund,West,False,2023-01
TXN-050727,CUST-01460,2023-01-02,Transfer,27.52,Insurance,West,False,2023-01
TXN-029119,CUST-00836,2023-01-02,Fee,14.36,Personal Loan,Central,False,2023-01
TXN-019825,CUST-00567,2023-01-02,Deposit,5.59,Personal Loan,North,False,2023-01
TXN-049981,CUST-01439,2023-01-02,Deposit,164.75,Savings Account,Central,False,2023-01
TXN-024989,CUST-00718,2023-01-02,Payment,209.26,Personal Loan,Central,True,2023-01
TXN-035657,CUST-01026,2023-01-02,Payment,184.09,Personal Loan,East,True,2023-01
TXN-050135,CUST-01444,2023-01-02,Interest,19.99,Personal Loan,South,False,2023-01
TXN-007177,CUST-00217,2023-01-02,Deposit,105.71,Business Loan,South,False,2023-01
TXN-039339,CUST-01135,2023-01-02,Withdrawal,48.4,Savings Account,Central,False,2023-01
TXN-008172,CUST-00245,2023-01-02,Withdrawal,0.89,Mortgage,South,False,2023-01
TXN-013026,CUST-00381,2023-01-02,Withdrawal,12.2,Savings Account,North,False,2023-01
TXN-040763,CUST-01175,2023-01-02,Deposit,232.15,Investment Fund,North,True,2023-01
TXN-040886,CUST-01178,2023-01-02,Deposit,2397.91,Mortgage,West,True,2023-01
TXN-019873,CUST-00568,2023-01-02,Payment,8.25,Mortgage,South,False,2023-01
TXN-045521,CUST-01311,2023-01-02,Deposit,22.83,Business Loan,West,False,2023-01
TXN-029281,CUST-00841,2023-01-02,Withdrawal,126.48,Personal Loan,South,False,2023-01
TXN-013118,CUST-00384,2023-01-02,Transfer,208.72,Savings Account,East,True,2023-01
TXN-017549,CUST-00503,2023-01-02,Payment,347.2,Auto Loan,North,True,2023-01
TXN-003594,CUST-00109,2023-01-02,Deposit,4.15,Investment Fund,North,False,2023-01
TXN-033925,CUST-00977,2023-01-02,Deposit,22.59,Personal Loan,East,False,2023-01
TXN-039628,CUST-01144,2023-01-03,Transfer,44.68,Savings Account,Central,False,2023-01
TXN-006664,CUST-00204,2023-01-03,Fee,7.39,Savings Account,South,False,2023-01
TXN-030465,CUST-00875,2023-01-03,Deposit,90.39,Personal Loan,East,False,2023-01
TXN-012537,CUST-00368,2023-01-03,Transfer,55.23,Personal Loan,South,False,2023-01
TXN-024418,CUST-00703,2023-01-03,Payment,30.59,Personal Loan,East,False,2023-01
TXN-050660,CUST-01458,2023-01-03,Payment,3.58,Business Loan,South,False,2023-01
TXN-003162,CUST-00097,2023-01-03,Payment,8.17,Business Loan,East,False,2023-01
TXN-031549,CUST-00907,2023-01-03,Deposit,10.49,Personal Loan,South,False,2023-01
TXN-027664,CUST-00795,2023-01-03,Transfer,98.71,Auto Loan,West,False,2023-01
TXN-050218,CUST-01446,2023-01-03,Deposit,8.25,Business Loan,West,False,2023-01
TXN-027373,CUST-00786,2023-01-03,Payment,18.55,Auto Loan,East,False,2023-01
TXN-003485,CUST-00106,2023-01-03,Deposit,9.04,Investment Fund,North,False,2023-01
TXN-045009,CUST-01297,2023-01-03,Withdrawal,50.55,Credit Card,West,False,2023-01
TXN-045458,CUST-01310,2023-01-03,Payment,255.79,Insurance,South,True,2023-01
TXN-013620,CUST-00398,2023-01-03,Withdrawal,46.94,Auto Loan,East,False,2023-01
TXN-047572,CUST-01369,2023-01-03,Payment,7.61,Savings Account,North,False,2023-01
TXN-002644,CUST-00081,2023-01-03,Deposit,68.51,Mortgage,South,False,2023-01
TXN-051407,CUST-01481,2023-01-03,Deposit,42.42,Mortgage,North,False,2023-01
TXN-039231,CUST-01132,2023-01-03,Deposit,12.18,Credit Card,East,False,2023-01
TXN-022491,CUST-00648,2023-01-03,Deposit,1197.01,Personal Loan,North,True,2023-01
TXN-024811,CUST-00713,2023-01-03,Withdrawal,35.02,Savings Account,Central,False,2023-01
TXN-037047,CUST-01064,2023-01-03,Payment,139.78,Insurance,East,False,2023-01
TXN-035526,CUST-01023,2023-01-03,Deposit,2.15,Personal Loan,East,False,2023-01
TXN-033096,CUST-00955,2023-01-03,Deposit,11.69,Personal Loan,Central,False,2023-01
TXN-008602,CUST-00256,2023-01-03,Transfer,14.11,Auto Loan,Central,False,2023-01
TXN-005325,CUST-00163,2023-01-03,Payment,18.47,Mortgage,North,False,2023-01
TXN-024545,CUST-00705,2023-01-03,Deposit,392.5,Personal Loan,North,True,2023-01
TXN-034873,CUST-01003,2023-01-03,Deposit,31.77,Insurance,North,False,2023-01
TXN-010082,CUST-00298,2023-01-03,Deposit,183.46,Investment Fund,North,True,2023-01
TXN-015641,CUST-00453,2023-01-03,Interest,6.46,Personal Loan,North,False,2023-01
TXN-004748,CUST-00146,2023-01-03,Withdrawal,24.4,Auto Loan,Central,False,2023-01
TXN-024236,CUST-00696,2023-01-03,Transfer,116.32,Insurance,Central,False,2023-01
TXN-036021,CUST-01034,2023-01-03,Transfer,7.42,Investment Fund,North,False,2023-01
TXN-024595,CUST-00707,2023-01-03,Withdrawal,29.01,Investment Fund,Central,False,2023-01
TXN-015547,CUST-00451,2023-01-03,Interest,60.65,Business Loan,Central,False,2023-01
TXN-048505,CUST-01397,2023-01-03,Payment,40.65,Investment Fund,East,False,2023-01
TXN-033296,CUST-00960,2023-01-03,Payment,3.96,Auto Loan,North,False,2023-01
TXN-023356,CUST-00671,2023-01-03,Withdrawal,81.78,Insurance,South,False,2023-01
TXN-034357,CUST-00989,2023-01-03,Deposit,38.05,Personal Loan,East,False,2023-01
TXN-045143,CUST-01301,2023-01-03,Interest,76.47,Auto Loan,Central,False,2023-01
